"filename", "language", "XML", "HTML", "JavaScript", "CSS", "Java", "Properties", "comment", "blank", "total"
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\src\java\control\Service\DatDichVuControl.java", "Java", 0, 0, 0, 0, 64, 0, 43, 11, 118
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\src\java\control\Service\DichVuKH.java", "Java", 0, 0, 0, 0, 36, 0, 39, 8, 83
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\src\java\control\ThongKe\LoaiPhongTK.java", "Java", 0, 0, 0, 0, 40, 0, 40, 8, 88
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\src\java\control\ThongKe\ThongKeControl.java", "Java", 0, 0, 0, 0, 53, 0, 41, 16, 110
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\src\java\control\UpdateUser.java", "Java", 0, 0, 0, 0, 53, 0, 41, 11, 105
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\src\java\control\UserInfoControl.java", "Java", 0, 0, 0, 0, 60, 0, 41, 11, 112
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\src\java\dao\BookingDAO.java", "Java", 0, 0, 0, 0, 123, 0, 1, 31, 155
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\src\java\dao\DAO.java", "Java", 0, 0, 0, 0, 244, 0, 6, 30, 280
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\src\java\dao\QuanLyDAO.java", "Java", 0, 0, 0, 0, 33, 0, 8, 7, 48
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\src\java\dao\SearchDAO.java", "Java", 0, 0, 0, 0, 62, 0, 1, 14, 77
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\src\java\dao\ServiceDAO.java", "Java", 0, 0, 0, 0, 47, 0, 8, 11, 66
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\src\java\dao\TKDAO.java", "Java", 0, 0, 0, 0, 116, 0, 8, 27, 151
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\src\java\dao\UDDAO.java", "Java", 0, 0, 0, 0, 77, 0, 8, 22, 107
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\src\java\dao\UserDAO.java", "Java", 0, 0, 0, 0, 100, 0, 0, 17, 117
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\src\java\entity\DatDichVu.java", "Java", 0, 0, 0, 0, 71, 0, 3, 18, 92
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\src\java\entity\DatPhong.java", "Java", 0, 0, 0, 0, 62, 0, 8, 17, 87
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\src\java\entity\DichVu.java", "Java", 0, 0, 0, 0, 46, 0, 10, 12, 68
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\src\java\entity\HoaDon.java", "Java", 0, 0, 0, 0, 114, 0, 3, 29, 146
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\src\java\entity\Phong.java", "Java", 0, 0, 0, 0, 83, 0, 3, 20, 106
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\src\java\entity\QuanLy.java", "Java", 0, 0, 0, 0, 63, 0, 6, 14, 83
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\src\java\entity\User.java", "Java", 0, 0, 0, 0, 75, 0, 2, 21, 98
