"filename", "language", "Java", "HTML", "XML", "Properties", "CSS", "JavaScript", "JSON", "Markdown", "CSV", "comment", "blank", "total"
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\build\web\sidebar.jsp", "HTML", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\nbproject\ant-deploy.xml", "XML", 0, 0, 49, 0, 0, 0, 0, 0, 0, 20, 1, 70
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\nbproject\build-impl.xml", "XML", 0, 0, 1327, 0, 0, 0, 0, 0, 0, 107, 1, 1435
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\nbproject\genfiles.properties", "Properties", 0, 0, 0, 6, 0, 0, 0, 0, 0, 2, 1, 9
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\nbproject\private\private.properties", "Properties", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\nbproject\private\private.xml", "XML", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\nbproject\project.properties", "Properties", 0, 0, 0, 85, 0, 0, 0, 0, 0, 4, 1, 90
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\nbproject\project.xml", "XML", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 1, 32
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\src\java\context\DBContext.java", "Java", 20, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 30
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\src\java\control\Booking\BookingControl.java", "Java", 36, 0, 0, 0, 0, 0, 0, 0, 0, 39, 8, 83
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\src\java\control\Booking\BookingFormControl.java", "Java", 87, 0, 0, 0, 0, 0, 0, 0, 0, 27, 17, 131
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\src\java\control\Booking\CancelBookingControl.java", "Java", 48, 0, 0, 0, 0, 0, 0, 0, 0, 40, 10, 98
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\src\java\control\Booking\SearchBooking.java", "Java", 49, 0, 0, 0, 0, 0, 0, 0, 0, 43, 9, 101
